Zeit,ethereum
1730394517960,2552.8026344348214
1730398128679,2533.308552455037
1730401896065,2522.431582261294
1730405837575,2515.1638887951667
1730409394998,2521.4226379592737
1730413130902,2512.348315400737
1730416689438,2518.4709864183365
1730420457829,2524.1891154313453
1730422885804,2524.0567807023112
1730427148590,2480.1981246982923
1730430212205,2509.084560710514
1730434683620,2502.005432054989
1730437881638,2509.8141957625257
1730441137597,2508.5830165728876
1730445265891,2495.693060363436
1730449138599,2504.260792058227
1730452178019,2498.333998207031
1730455650695,2510.167128552406
1730458949902,2516.4797757096426
1730463036456,2515.5899631739694
1730466135223,2535.3514151128998
1730470576542,2576.0608853528647
1730474124112,2548.990194214874
1730477718819,2513.497301622508
1730481750081,2527.5335925421136
1730485046391,2505.49293478801
1730488073154,2500.7622047870777
1730492333193,2517.3784870617114
1730495989754,2513.1307516756224
1730499230138,2508.7014185893363
1730502738381,2514.765170164251
1730505862730,2511.971171522551
1730509354139,2516.5666644580842
1730513036122,2514.4503947072308
1730517365136,2512.8176233570985
1730520048634,2506.100581307112
1730524059504,2504.6796623757655
1730527563445,2511.6634731218287
1730530983817,2511.1686632027477
1730534472127,2507.2949305165184
1730538031086,2498.419496444809
1730542759885,2494.6116869447605
1730545448251,2501.038967387042
1730549498404,2501.451870295995
1730553162653,2488.910695705866
1730556927117,2477.903879722394
1730560036409,2480.9808707053553
1730564478889,2484.0774741822506
1730567707513,2492.221749981915
1730571427244,2481.641225822578
1730574366463,2488.49952282632
1730578249881,2491.275024905671
1730581306786,2493.4248447587133
1730585393395,2491.171307450643
1730589120843,2487.265701316592
1730593256476,2495.210882657583
1730596292379,2485.41138105615
1730599603058,2471.646509769016
1730603244874,2429.23617633712
1730606788366,2450.0111867531696
1730610257723,2455.48134433623
1730613881406,2444.1429243820967
1730617376274,2455.118363846138
1730621049203,2449.745869590284
1730624503728,2456.8677312704854
1730628959675,2455.318174851385
1730631831262,2455.9298716068897
1730635894891,2455.505516139951
1730639308068,2453.47660621413
1730643495173,2434.470590848142
1730646936151,2417.7508304097028
1730649997496,2445.36395107492
1730653868794,2448.0339312763695
1730657574013,2447.4960897145556
1730661116735,2431.899805600637
1730665130838,2448.441263255776
1730668865693,2470.1644077534024
1730671409771,2467.578232705301
1730675714746,2454.127239964868
1730678921798,2455.093450798762
1730683319226,2457.1127992376314
1730686448970,2464.471330387361
1730690523391,2474.429990640879
1730693594037,2474.1581054661983
1730697181666,2468.040270030291
1730701013746,2469.1674432454574
1730704782239,2471.607858951318
1730707930486,2457.7612417194496
1730711542241,2462.52834531666
1730714908321,2463.686128790964
1730718455925,2461.8001728930835
1730722072533,2465.719413110207
1730726091730,2481.8260293174244
1730729550101,2458.31027469136
1730733211587,2447.8680129507857
1730736462674,2436.0936227997868
1730740445261,2408.5250436571905
1730743546930,2423.2553250239416
1730747670194,2435.5013014544093
1730751061880,2426.721790134349
1730754689841,2422.1962554419574
1730757891202,2373.6253786583316
1730761458000,2406.0105678571513
